L,0.1394867745693773,51,0.0027350347954779863
ol,0.0,0,0.20975013077259064
 well,0.10589928284753114,77,0.0013753153616562486
 the,0.19579315558075905,10,0.019579315558075905
 fans,0.12764099793275818,359,0.00035554595524445176
 in,0.05419057980179787,1,0.05419057980179787
 Phill,0.017057252599443018,6901,2.4717073756619357e-06
i,0.16442829743027687,9,0.01826981082558632
 do,0.0955453917849809,27,0.0035387182142585516
 have,0.07858623564243317,1,0.07858623564243317
 a,0.0,0,0.3419816792011261
 bad,0.15498400758951902,19,0.008157053031027317
 reputation,0.15820379555225372,1,0.15820379555225372
 so,0.13938928116112947,9,0.015487697906792164
 I,0.0,0,0.3120068609714508
'm,0.0,0,0.1393130123615265
 not,0.0,0,0.2825983166694641
 surprised,0.16602852940559387,1,0.16602852940559387
 there,0.12251331890001893,17,0.007206665817648172
 was,0.2587219700217247,3,0.08624065667390823
 an,0.1422056034207344,3,0.04740186780691147
 actual,0.13039112091064453,12,0.010865926742553711
 court,0.09402584515919443,951,9.887049964163452e-05
 inside,0.03573484889056999,1353,2.6411566068418324e-05
 the,0.0,0,0.3552185595035553
 stadium,0.0,0,0.2594987154006958
